Production_ID,Plant_ID,Machine_ID,Operator_ID,Product_Type,Shift,Production_Date,Raw_Material_Batch,Temperature_C,Pressure_Bar,Humidity_Percent,Cycle_Time_Sec,Units_Produced,Defective_Units,Energy_Consumption_kWh,Downtime_Minutes,Maintenance_Score,Quality_Score,Inventory_Level,Delivery_Time_Hours
1,4,131,1004,D,Evening,2025-01-01 00:00:00,5799,80.19,12.85,52.17,147.21,264,7,270.69,17,5,95,405,26.59
2,5,135,1098,C,Evening,2025-01-01 01:00:00,5872,77.65,11.99,56.41,121.24,401,0,245.26,42,6,96,1484,21.38
3,3,149,1060,A,Morning,2025-01-01 02:00:00,6363,79.18,11.9,65.08,119.54,284,8,245.57,8,7,76,3467,19.42
4,5,103,1091,A,Night,2025-01-01 03:00:00,5128,80.23,14.35,71.3,141.38,416,1,256.93,18,4,99,1674,17.95
5,5,126,1092,D,Morning,2025-01-01 04:00:00,5437,73.3,12.91,57.18,117.61,131,13,272.41,19,7,78,972,16.43
6,2,116,1008,C,Evening,2025-01-01 05:00:00,5750,74.26,9.02,56.64,105.2,343,12,301.29,41,5,83,268,14.22
7,3,111,1049,A,Evening,2025-01-01 06:00:00,5500,81.44,13.2,51.08,124.75,359,15,233.52,29,6,95,1703,24.55
8,3,121,1005,B,Night,2025-01-01 07:00:00,6081,68.95,13.05,41.28,136.84,125,1,210.22,25,4,89,1130,10.86
9,3,116,1082,D,Morning,2025-01-01 08:00:00,6221,77.15,13.78,50.15,107.61,64,3,227.76,30,8,81,1834,26.36
10,5,109,1059,A,Evening,2025-01-01 09:00:00,5210,71.42,10.59,53.36,128.84,269,11,214.98,34,9,84,4542,26.32
11,4,100,1043,A,Evening,2025-01-01 10:00:00,6937,80.5,12.49,62.8,118.6,279,15,188.96,2,2,81,3767,23.5
12,3,121,1010,B,Evening,2025-01-01 11:00:00,5901,74.91,12.17,59.16,126.77,483,9,306.42,55,4,90,4930,24.37
13,5,125,1065,B,Night,2025-01-01 12:00:00,5044,75.04,10.56,56.77,124.7,489,2,284.18,39,8,90,1376,22.57
14,2,117,1046,D,Evening,2025-01-01 13:00:00,6120,83.64,13.42,50.35,113.79,421,3,158.66,28,8,98,642,25.13
15,4,149,1072,D,Evening,2025-01-01 14:00:00,6302,69.62,11.64,39.14,118.41,314,5,258.72,5,9,92,454,25.07
16,2,113,1084,B,Morning,2025-01-01 15:00:00,5534,76.08,13.73,39.63,114.7,313,4,234.93,51,3,82,4908,30.51
17,4,146,1087,D,Morning,2025-01-01 16:00:00,6433,74.1,10.89,41.69,121.78,159,17,230.16,0,1,78,4136,31.66
18,5,128,1097,B,Evening,2025-01-01 17:00:00,5460,77.66,9.81,52.66,107.31,452,2,150.54,51,9,93,3539,31.51
19,1,111,1085,A,Evening,2025-01-01 18:00:00,5390,84.65,11.64,62.95,110.89,356,9,248.99,23,1,76,683,20.01
20,4,135,1002,B,Morning,2025-01-01 19:00:00,6870,71.97,12.35,62.74,113.79,249,10,253.08,37,3,99,610,27.79
21,2,134,1075,B,Night,2025-01-01 20:00:00,6067,69.01,11.2,61.35,125.88,275,18,202.92,33,3,70,1046,26.53
22,5,111,1091,C,Night,2025-01-01 21:00:00,5026,70.95,7.4,50.88,98.77,234,13,314.91,50,9,97,3573,20.76
23,4,106,1029,B,Night,2025-01-01 22:00:00,5793,73.84,12.58,64.15,118.39,80,10,281.65,59,1,79,1298,19.57
24,1,128,1089,B,Night,2025-01-01 23:00:00,6120,75.32,12.57,47.55,109.38,151,3,207.35,6,7,98,2971,22.12
25,1,110,1020,C,Night,2025-01-02 00:00:00,5974,75.57,13.03,61.83,113.83,308,5,290.92,10,2,75,4095,18.7
26,3,132,1027,D,Night,2025-01-02 01:00:00,5547,84.01,11.43,41.6,110.1,148,16,231.38,10,7,95,4021,17.05
27,3,105,1089,C,Night,2025-01-02 02:00:00,5620,83.12,11.35,45.58,122.92,388,18,292.2,35,1,84,4273,26.49
28,2,146,1061,A,Night,2025-01-02 03:00:00,5566,81.51,14.16,68.22,117.64,348,12,192.28,19,8,84,4635,24.16
29,4,114,1032,C,Morning,2025-01-02 04:00:00,5703,87.57,9.64,53.37,130.67,334,9,256.8,15,2,78,3403,24.14
30,4,131,1084,A,Night,2025-01-02 05:00:00,6242,79.12,11.63,49.55,126.03,315,10,201.35,4,3,82,2547,28.63
